0,10.0000000000,156.1226455558
1,6.7583132113,45.1465701615
2,4.7718082037,12.3390908367,0.8883041781
3,3.5904077657,3.6897017284,0.8172996632
4,2.7785121944,1.1517225862,0.9011832923
5,2.1802948581,0.3670464017,0.9457979767
6,1.7239888241,0.1182887641,0.9685053727
7,1.3692729862,0.0383667428,0.9810123199
8,1.0904780010,0.0124921283,0.9882924557
9,0.8698962280,0.0040770221,0.9926808160
10,0.6946578916,0.0013325659,0.9953847215
11,0.5550861170,0.0004359498,0.9970739418
12,0.4437425589,0.0001427049,0.9981385374
13,0.3548274344,0.0000467308,0.9988132213
14,0.2837767953,0.0000153063,0.9992423189
15,0.2269778885,0.0000050142,0.9995158424
16,0.1815600308,0.0000016428,0.9996904491
17,0.1452366226,0.0000005382,0.9998020142
18,0.1161834621,0.0000001764,0.9998733410
19,0.0929437822,0.0000000578,0.9999189595
20,0.0743534963,0.0000000189,0.9999481429
21,0.0594820141,0.0000000062,0.9999668145
22,0.0475852104,0.0000000020,0.9999787635
23,0.0380679631,0.0000000007,0.9999864078
24,0.0304542653,0.0000000002,0.9999913071
25,0.0243633586,0.0000000001,0.9999944138
26,0.0194906593,0.0000000000,0.9999964555
27,0.0155925129,0.0000000000,0.9999978271
28,0.0124740034,0.0000000000,0.9999983317
29,0.0099791986,0.0000000000,0.9999993366
30,0.0079833541,0.0000000000,1.0000008734
31,0.0063866834,0.0000000000,0.9999971861
32,0.0051093417,0.0000000000,1.0000045426
33,0.0040874911,0.0000000000,0.9999760646
34,0.0032700132,0.0000000000,0.9999917109
35,0.0026159676,0.0000000000,1.0001014491
36,0.0020927634,0.0000000000,0.9999490762
37,0.0016744111,0.0000000000,0.9994411368
38,0.0013394005,0.0000000000,1.0009661905
39,0.0010726243,0.0000000000,0.9949581214
40,0.0008564837,0.0000000000,1.0131211993
41,0.0006824428,0.0000000000,1.0094576514
42,0.0005395313,0.0000000000,1.0344324907
43,0.0004174610,0.0000000000,1.0916326813
44,0.0003286825,0.0000000000,0.9321231187
45,0.0003286825,0.0000000000,-0.0000000000

0,10.0000000000,156.1226455558
1,-6.2084339435,-33.6005386238
2,2.5101317500,0.7161497033,1.8997655785
3,-0.1556732132,-0.0000007614,3.0702440871
4,0.0000359344,0.0000000000,3.0118056736
5,-nan,-nan,nan

0,10.0000000000,156.1226455558
1,4,-2.9667471548,-1.5592235352
2,1,-2.3213841037,-0.4948257766,0.2018753056
3,1,-1.8325916713,-0.1590954742,0.9638402040
4,2,-1.0756807604,-0.0116761261,2.2534026418
5,3,-0.4231145585,-0.0001125273,1.7513241893
6,4,-0.0840452070,-0.0000000349,1.7322333738
7,4,-0.0168045181,-0.0000000000,0.9959282729
8,4,-0.0033608671,-0.0000000000,0.9998395488
9,5,0.0000001900,0.0000000000,6.0769303336
10,-2147483648,-nan,-nan,nan
