0.11,28529,36438.977
0.12,26013,33458.359
0.13,23884,31151.537
0.14,22060,31760.924
0.15,20478,28692.738
0.16,19095,26575.527
0.17,17874,23970.748
0.18,16788,22991.510
0.19,15817,21754.248
0.20,14944,19921.652
0.21,14153,19619.932
0.22,13434,18408.732
0.23,12778,17157.652
0.24,12176,18445.291
0.25,11623,14839.408
0.26,11112,14092.651
0.27,10639,12911.200
0.28,10199,12703.817
0.29,9790,11619.722
0.30,9409,11175.272
0.31,9052,11390.460
0.32,8717,10845.910
0.33,8402,10157.978
0.34,8106,10390.309
0.35,7827,10765.589
0.36,7564,9814.604
0.37,7314,9168.134
0.38,7078,9616.485
0.39,6854,8878.443
0.40,6641,9418.771
0.41,6439,7996.685
0.42,6246,7901.582
0.43,6062,7780.374
0.44,5886,7630.430
0.45,5719,7284.240
0.46,5558,6862.059
0.47,5404,6797.745
0.48,5257,6716.079
0.49,5116,6671.689
0.50,4980,6508.802
0.51,4850,6408.547
0.52,4725,6032.743
0.53,4604,5992.444
0.54,4488,5668.587
0.55,4377,5656.830
0.56,4269,5361.308
0.57,4165,5632.280
0.58,4064,5491.818
0.59,3967,4957.701
0.60,3873,5050.644
0.61,3782,4807.776
0.62,3695,4659.306
0.63,3610,4536.971
0.64,3527,4173.565
0.65,3447,4228.004
0.66,3370,4207.577
0.67,3295,4428.732
0.68,3222,4028.833
0.69,3151,3952.008
0.70,3082,4048.395
0.71,3015,4174.044
0.72,2950,3677.086
0.73,2887,3385.973
0.74,2826,3655.021
0.75,2766,3521.695
0.76,2707,3464.217
0.77,2651,3173.686
0.78,2595,3264.037
0.79,2541,3123.232
0.80,2489,2926.129
0.81,2437,2905.641
0.82,2387,3087.810
0.83,2339,3041.501
0.84,2291,2839.385
0.85,2244,2861.995
0.86,2199,3055.872
0.87,2154,2831.039
0.88,2111,2809.869
0.89,2068,2570.160
0.90,2027,2551.507
0.91,1986,2577.265
0.92,1947,2399.790
0.93,1908,2476.038
0.94,1870,2387.743
0.95,1832,2336.541
0.96,1796,2162.950
0.97,1760,2377.648
0.98,1725,2091.739
0.99,1691,2294.345
1.00,1657,2200.598
1.01,1624,1858.265
1.02,1592,1944.824
1.03,1560,1779.040
1.04,1529,1928.223
1.05,1499,1946.790
1.06,1469,1963.959
1.07,1440,1852.934
1.08,1411,1791.325
1.09,1382,1726.909
1.10,1355,1754.282
1.11,1327,1576.700
1.12,1301,1658.289
1.13,1274,1458.585
1.14,1248,1625.090
1.15,1223,1485.337
1.16,1198,1453.363
1.17,1173,1652.354
1.18,1149,1423.326
1.19,1125,1368.499
1.20,1102,1371.197
1.21,1079,1250.651
1.22,1057,1376.535
1.23,1034,1336.758
1.24,1012,1357.884
1.25,991,1062.707
1.26,970,1282.439
1.27,949,1115.007
1.28,928,1028.131
1.29,908,1061.516
1.30,888,1069.146
1.31,868,939.956
1.32,849,1099.298
1.33,830,1360.292
1.34,811,958.740
1.35,793,1147.032
1.36,774,1000.074
1.37,756,1076.919
1.38,739,1041.268
1.39,721,899.918
1.40,704,978.258
1.41,687,939.746
1.42,670,934.798
1.43,653,861.598
1.44,637,751.827
1.45,621,893.143
1.46,605,812.710
1.47,589,704.682
1.48,574,692.178
1.49,558,763.761
1.50,543,619.593
1.51,528,578.665
1.52,513,662.453
1.53,499,539.824
1.54,484,618.620
1.55,470,540.599
1.56,456,609.196
1.57,442,526.653
1.58,428,608.585
1.59,414,445.715
1.60,401,533.247
1.61,388,430.835
1.62,374,403.527
1.63,361,394.639
1.64,348,343.735
1.65,335,350.880
1.66,322,429.063
1.67,309,354.672
1.68,297,418.081
1.69,284,321.451
1.70,272,351.991
1.71,259,372.043
1.72,247,266.806
1.73,234,308.769
1.74,222,244.366
1.75,209,220.506
1.76,196,180.126
1.77,183,249.030
1.78,170,192.893
1.79,156,197.451
1.80,141,164.018
1.81,123,195.719
1.82,102,133.132
1.83,106,143.161
1.84,110,160.722
1.85,117,145.615
1.86,124,209.833
1.87,131,179.257
1.88,140,186.148
1.89,150,170.907
1.90,163,185.043
1.91,187,203.677
1.92,204,277.865
1.93,228,269.252
1.94,267,329.539
1.95,317,390.911
1.96,396,562.605
1.97,527,577.030
1.98,779,860.955
1.99,1562,1974.906
