No.,Order,CGS,,,MGS,,,H,,,G
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
37,1258,0.0000e+00,1.645,5.8757e-16,0.0000e+00,1.583,5.8757e-16,0.0000e+00,0.305,1.4381e+00,0.0000e+00,1.051,1.4173e+00
38,1674,0.0000e+00,3.861,6.1418e-16,0.0000e+00,3.768,6.1418e-16,0.0000e+00,1.294,1.4294e+00,0.0000e+00,2.820,1.4152e+00
39,1771,0.0000e+00,4.986,6.1962e-16,0.0000e+00,5.035,6.1962e-16,0.0000e+00,1.938,1.4307e+00,0.0000e+00,3.575,1.4148e+00
40,942,0.0000e+00,0.640,5.6053e-16,0.0000e+00,0.638,5.6053e-16,0.0000e+00,0.136,1.4527e+00,0.0000e+00,0.446,1.4180e+00
41,1629,0.0000e+00,3.746,6.1194e-16,0.0000e+00,3.860,6.1194e-16,0.0000e+00,1.364,1.4321e+00,0.0000e+00,2.609,1.4173e+00
42,1209,0.0000e+00,1.482,5.8719e-16,0.0000e+00,1.536,5.8719e-16,0.0000e+00,0.718,1.4363e+00,0.0000e+00,1.083,1.4170e+00
43,1247,0.0000e+00,1.606,5.8769e-16,0.0000e+00,1.589,5.8769e-16,0.0000e+00,0.641,1.4370e+00,0.0000e+00,1.265,1.4157e+00
44,641,0.0000e+00,0.227,5.2732e-16,0.0000e+00,0.256,5.2732e-16,0.0000e+00,0.104,1.4683e+00,0.0000e+00,0.158,1.4190e+00
45,1818,0.0000e+00,6.523,6.2060e-16,0.0000e+00,6.063,6.2060e-16,0.0000e+00,2.417,1.4306e+00,0.0000e+00,3.332,1.4131e+00
46,1963,0.0000e+00,6.422,6.2904e-16,0.0000e+00,6.678,6.2904e-16,0.0000e+00,2.319,1.4267e+00,0.0000e+00,4.500,1.4160e+00
47,1557,0.0000e+00,3.211,6.0852e-16,0.0000e+00,3.121,6.0852e-16,0.0000e+00,0.860,1.4319e+00,0.0000e+00,2.157,1.4133e+00
48,1931,0.0000e+00,6.299,6.3187e-16,0.0000e+00,6.429,6.3187e-16,0.0000e+00,2.413,1.4281e+00,0.0000e+00,4.685,1.4121e+00
49,806,0.0000e+00,0.405,5.5050e-16,0.0000e+00,0.418,5.5050e-16,0.0000e+00,0.130,1.4572e+00,0.0000e+00,0.331,1.4001e+00
50,873,0.0000e+00,0.514,5.5408e-16,0.0000e+00,0.606,5.5408e-16,0.0000e+00,0.100,1.4522e+00,0.0000e+00,0.374,1.4126e+00
51,1509,0.0000e+00,2.836,6.0664e-16,0.0000e+00,2.917,6.0664e-16,0.0000e+00,0.740,1.4325e+00,0.0000e+00,1.950,1.4126e+00
52,1591,0.0000e+00,3.381,6.1052e-16,0.0000e+00,3.424,6.1052e-16,0.0000e+00,1.559,1.4324e+00,0.0000e+00,2.436,1.4155e+00
53,1213,0.0000e+00,1.492,5.8592e-16,0.0000e+00,1.470,5.8592e-16,0.0000e+00,0.271,1.4408e+00,0.0000e+00,1.020,1.4077e+00
54,615,0.0000e+00,0.201,5.2821e-16,0.0000e+00,0.201,5.2821e-16,0.0000e+00,0.056,1.4742e+00,0.0000e+00,0.151,1.4068e+00
55,1517,0.0000e+00,2.926,6.0352e-16,0.0000e+00,2.979,6.0352e-16,0.0000e+00,0.790,1.4341e+00,0.0000e+00,1.983,1.4132e+00
56,1263,0.0000e+00,1.678,5.8888e-16,0.0000e+00,1.607,5.8888e-16,0.0000e+00,0.319,1.4411e+00,0.0000e+00,1.119,1.4127e+00
