No.,Order,CGS,,,MGS,,,H,,,G,,
,,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err,Orth.,Time(s),R.Err
38,544,4.5085E-11,0.236,2.2746,4.5085E-11,0.219,2.2746,5.611E-14,0.064,1.8096E-15,8.4648E-14,0.108,2.8824E-15
39,870,2.6891E-10,0.753,1.5876,2.6891E-10,0.749,1.5876,8.8725E-14,0.497,2.2615E-15,1.3296E-13,0.436,3.5364E-15
40,1687,9.6208E-09,57.999,6.287E-14,9.6208E-09,57.661,6.287E-14,1.6756E-13,7.539,2.8982E-15,2.5666E-13,4.174,4.6184E-15
41,840,1.7961E-10,0.656,1.8591,1.7961E-10,0.642,1.8591,8.6884E-14,0.353,2.2795E-15,1.2756E-13,0.385,3.2894E-15
42,833,1.8543E-10,0.672,0.34499,1.8543E-10,0.697,0.34499,8.6697E-14,0.318,2.2104E-15,1.2733E-13,0.393,3.3996E-15
43,1327,1.7852E-09,17.494,4.1579E-14,1.7852E-09,17.475,4.1579E-14,1.3251E-13,3.224,2.658E-15,2.0248E-13,1.897,4.3383E-15
44,1949,2.3756E-08,103.863,7.8076E-14,2.3756E-08,94.802,7.8076E-14,1.9734E-13,11.774,3.1589E-15,2.981E-13,6.339,5.0435E-15
45,1481,3.3221E-09,31.308,4.3443E-14,3.3221E-09,31.248,4.3443E-14,1.4843E-13,5.496,2.8305E-15,2.2648E-13,2.687,4.4317E-15
46,1593,5.4578E-09,44.953,5.0884E-14,5.4578E-09,44.885,5.0884E-14,1.6286E-13,6.285,3.0606E-15,2.4474E-13,3.391,4.5748E-15
47,581,5.6521E-11,0.218,1.8255,5.6521E-11,0.216,1.8255,6.0531E-14,0.082,1.861E-15,8.8081E-14,0.131,2.8171E-15
48,1213,1.0948E-09,7.183,3.1463E-14,1.0948E-09,7.254,3.1463E-14,1.2275E-13,2.33,2.6027E-15,1.8578E-13,1.416,4.0549E-15
49,1315,2.0052E-09,14.645,0.017358,2.0052E-09,14.664,0.017358,1.3349E-13,3.143,2.7371E-15,2.0028E-13,1.818,4.1208E-15
50,1973,1.9803E-08,106.117,7.7739E-14,1.9803E-08,104.034,7.7739E-14,2.0008E-13,12.097,3.3417E-15,3.0286E-13,6.338,5.0406E-15
51,1644,6.3687E-09,51.031,5.2272E-14,6.3687E-09,51.048,5.2272E-14,1.653E-13,6.453,3.0043E-15,2.5033E-13,3.583,4.7233E-15
52,1869,1.4496E-08,87.189,6.5543E-14,1.4496E-08,86.701,6.5543E-14,1.8522E-13,9.969,3.1658E-15,2.8484E-13,5.689,4.9854E-15
53,1959,2.3226E-08,108.454,8.0827E-14,2.3226E-08,112.413,8.0827E-14,1.9356E-13,12.038,3.1858E-15,3.0047E-13,6.693,4.9999E-15
54,1212,1.0724E-09,8.159,0.90977,1.0724E-09,7.896,0.90977,1.2215E-13,3.089,2.5837E-15,1.8601E-13,1.518,4.199E-15
55,567,4.0585E-11,0.315,1.3211,4.0585E-11,0.305,1.3211,5.9341E-14,0.105,1.8994E-15,8.5477E-14,0.171,2.7917E-15
56,1679,6.0522E-09,54.852,5.6441E-14,6.0522E-09,59.316,5.6441E-14,1.6987E-13,7.845,3.0417E-15,2.5829E-13,4.25,4.7738E-15
57,1896,1.7079E-08,104.72,7.3309E-14,1.7079E-08,99.694,7.3309E-14,1.9367E-13,10.423,3.356E-15,2.9384E-13,5.863,5.3355E-15
58,593,7.3637E-11,0.401,2.323,7.3637E-11,0.365,2.323,6.1037E-14,0.119,1.8406E-15,8.9398E-14,0.199,2.8618E-15
59,1440,2.8953E-09,28.025,4.4501E-14,2.8953E-09,27.741,4.4501E-14,1.4744E-13,4.212,2.9826E-15,2.2332E-13,2.561,4.6026E-15
60,1435,2.7449E-09,28.571,3.958E-14,2.7449E-09,28.513,3.958E-14,1.4514E-13,4.95,2.8096E-15,2.1781E-13,2.566,4.4871E-15
61,830,2.1398E-10,0.826,2.3007E-14,2.1398E-10,0.797,2.3007E-14,8.4723E-14,0.399,2.1854E-15,1.2653E-13,0.432,3.4013E-15
62,940,3.75E-10,1.182,0.0063294,3.75E-10,1.171,0.0063294,9.4581E-14,0.668,2.2808E-15,1.4282E-13,0.636,3.5716E-15
63,556,4.4162E-11,0.285,0.86186,4.4162E-11,0.287,0.86186,5.6819E-14,0.119,1.8223E-15,8.6455E-14,0.176,2.9487E-15
64,1749,8.3489E-09,74.064,6.1985E-14,8.3489E-09,74.164,6.1985E-14,1.7525E-13,12.112,3.1053E-15,2.6746E-13,5.226,4.8905E-15
65,1045,6.1736E-10,2.266,1.0442,6.1736E-10,2.022,1.0442,1.0794E-13,1.19,2.5081E-15,1.599E-13,0.949,3.6777E-15
66,895,2.6315E-10,1.064,1.2252,2.6315E-10,1.077,1.2252,9.153E-14,0.563,2.2956E-15,1.3766E-13,0.568,3.6306E-15
