60,1.00,62
60,1.01,49
60,1.02,48
60,1.03,48
60,1.04,47
60,1.05,47
60,1.06,46
60,1.07,46
60,1.08,46
60,1.09,45
60,1.10,45
60,1.11,44
60,1.12,43
60,1.13,43
60,1.14,42
60,1.15,42
60,1.16,42
60,1.17,41
60,1.18,41
60,1.19,40
60,1.20,40
60,1.21,39
60,1.22,39
60,1.23,38
60,1.24,38
60,1.25,37
60,1.26,37
60,1.27,36
60,1.28,35
60,1.29,35
60,1.30,34
60,1.31,34
60,1.32,32
60,1.33,29
60,1.34,31
60,1.35,32
60,1.36,32
60,1.37,33
60,1.38,33
60,1.39,33
60,1.40,33
60,1.41,33
60,1.42,33
60,1.43,34
60,1.44,34
60,1.45,34
60,1.46,34
60,1.47,34
60,1.48,34
60,1.49,34
60,1.50,34
60,1.51,34
60,1.52,33
60,1.53,33
60,1.54,33
60,1.55,33
60,1.56,33
60,1.57,33
60,1.58,33
60,1.59,33
60,1.60,32
60,1.61,32
60,1.62,32
60,1.63,32
60,1.64,32
60,1.65,32
60,1.66,31
60,1.67,31
60,1.68,31
60,1.69,31
60,1.70,30
60,1.71,30
60,1.72,30
60,1.73,30
60,1.74,29
60,1.75,29
60,1.76,29
60,1.77,29
60,1.78,28
60,1.79,28
60,1.80,28
60,1.81,28
60,1.82,27
60,1.83,27
60,1.84,27
60,1.85,27
60,1.86,27
60,1.87,27
60,1.88,27
60,1.89,27
60,1.90,28
60,1.91,29
60,1.92,30
60,1.93,31
60,1.94,32
60,1.95,34
60,1.96,37
60,1.97,41
60,1.98,46
60,1.99,51
