Step, Residual, Error

m=25
73,0.009271, 0.032972
74,0.009555, 0.030408
75,0.008016, 0.027806
76,0.006525, 0.025323
77,0.006513, 0.023149
78,0.006573, 0.021007
79,0.004383, 0.018823
80,0.005029, 0.016911
81,0.004497, 0.015105
82,0.003668, 0.013371
83,0.003565, 0.011837
84,0.003352, 0.010466
85,0.002605, 0.009275
86,0.002631, 0.008376
87,0.002323, 0.007696
88,0.001855, 0.007177
89,0.002159, 0.006731
90,0.001709, 0.006194
91,0.001664, 0.005595
92,0.001356, 0.004994
93,0.001074, 0.004486
94,0.001241, 0.004086
95,0.001123, 0.003690
96,0.000924, 0.003280
97,0.000773, 0.002912
98,0.000740, 0.002616
99,0.000799, 0.002352
100,0.000574, 0.002086
101,0.000513, 0.001862
102,0.000573, 0.001685
103,0.000433, 0.001523
104,0.000404, 0.001392
105,0.000370, 0.001290
106,0.000366, 0.001199
107,0.000268, 0.001109
108,0.000303, 0.001021
109,0.000273, 0.000921
110,0.000204, 0.000813
111,0.000228, 0.000713
112,0.000165, 0.000623
113,0.000155, 0.000555
114,0.000161, 0.000505
115,0.000146, 0.000459
116,0.000126, 0.000412
117,0.000112, 0.000369
118,0.000090, 0.000335
119,0.000101, 0.000309
120,0.000093, 0.000283
121,0.000067, 0.000257
122,0.000072, 0.000237
123,0.000069, 0.000218
124,0.000064, 0.000199
125,0.000055, 0.000180
126,0.000050, 0.000162
127,0.000056, 0.000144
128,0.000043, 0.000127
129,0.000046, 0.000111
130,0.000045, 0.000098
131,0.000040, 0.000087
132,0.000038, 0.000079
133,0.000038, 0.000073
134,0.000037, 0.000067
135,0.000036, 0.000062
136,0.000037, 0.000056
137,0.000035, 0.000050
138,0.000034, 0.000045
139,0.000035, 0.000041
140,0.000034, 0.000038
141,0.000033, 0.000034
142,0.000034, 0.000030
143,0.000034, 0.000027
144,0.000035, 0.000025
145,0.000035, 0.000022
146,0.000033, 0.000020
147,0.000033, 0.000019
148,0.000031, 0.000018
149,0.000030, 0.000017
150,0.000031, 0.000016
151,0.000031, 0.000016
152,0.000030, 0.000015
153,0.000029, 0.000014
154,0.000026, 0.000013
155,0.000024, 0.000012
156,0.000023, 0.000011
157,0.000022, 0.000011
158,0.000020, 0.000011
159,0.000019, 0.000010
160,0.000021, 0.000010
161,0.000021, 0.000010
162,0.000020, 0.000010
163,0.000020, 0.000010
164,0.000019, 0.000010
165,0.000018, 0.000009
166,0.000018, 0.000009
167,0.000018, 0.000009
168,0.000018, 0.000009
169,0.000018, 0.000009
170,0.000018, 0.000009
171,0.000018, 0.000010
172,0.000018, 0.000010
173,0.000018, 0.000010
174,0.000016, 0.000010
175,0.000017, 0.000010
176,0.000017, 0.000009
177,0.000017, 0.000009
178,0.000017, 0.000009
179,0.000016, 0.000009
180,0.000016, 0.000009
181,0.000016, 0.000009
182,0.000015, 0.000009
183,0.000016, 0.000009
184,0.000016, 0.000010
185,0.000017, 0.000010
186,0.000016, 0.000010
187,0.000016, 0.000010
188,0.000016, 0.000010
189,0.000017, 0.000010
190,0.000016, 0.000009
191,0.000016, 0.000009
192,0.000017, 0.000009
193,0.000017, 0.000009
194,0.000016, 0.000009
195,0.000016, 0.000010
196,0.000016, 0.000010
197,0.000017, 0.000010
198,0.000017, 0.000010
199,0.000017, 0.000010
200,0.000017, 0.000010
(Error not converge to 0 because of rounding up) 
