A_n^2,n=30,m=20
Start,17,times.
,,
Steps,Residual,Error
220,0.01851292,0.90132493
221,0.01986637,0.87084854
222,0.19760831,0.81599545
Restart!,12,
223,0.01991838,0.81349194
224,0.01672473,0.81136912
225,0.0166104,0.80919987
226,0.01656109,0.80695349
227,0.01651256,0.80459589
228,0.01646099,0.80208862
229,0.01640548,0.79938149
230,0.01634445,0.79641008
231,0.01627651,0.79309434
232,0.01619895,0.78931987
233,0.01610893,0.7849279
234,0.01600122,0.77968264
235,0.01586862,0.77322257
236,0.01569908,0.76496017
237,0.01547174,0.75386983
238,0.01515726,0.73798496
239,0.01611919,0.71303201
240,0.15140978,0.66808814
Restart!,13,
241,0.01737206,0.66607064
242,0.01373233,0.66433156
243,0.01360176,0.66255563
244,0.01355997,0.6607163
245,0.01352014,0.65878659
246,0.01347799,0.65673333
247,0.01343245,0.6545161
248,0.0133825,0.65208381
249,0.01332683,0.649369
250,0.01326335,0.64627862
251,0.01318956,0.6426819
252,0.0131014,0.6383872
253,0.01299289,0.63309795
254,0.01285405,0.62633312
255,0.0126682,0.61725277
256,0.01242203,0.60424674
257,0.01453731,0.58381623
258,0.18384512,0.54731387
Restart!,14,
259,0.01679086,0.54536635
260,0.01131145,0.54394096
261,0.01114008,0.54248685
262,0.01110291,0.54098076
263,0.01106998,0.53940058
264,0.01103549,0.53771919
265,0.01099823,0.53590441
266,0.01095735,0.53391302
267,0.0109117,0.53168976
268,0.01085983,0.52915919
269,0.01079937,0.52621436
270,0.01072721,0.5226981
271,0.01063833,0.51836741
272,0.01052471,0.51282841
273,0.01037267,0.50539374
274,0.01018353,0.49474451
275,0.0133093,0.47801679
276,0.20396113,0.44847599
Restart!,15,
277,0.0145529,0.4465349
278,0.00930999,0.44536728
279,0.009124,0.44417644
280,0.00909093,0.44294372
281,0.00906385,0.44164982
282,0.00903555,0.44027308
283,0.009005,0.4387871
284,0.00897158,0.43715641
285,0.00893426,0.4353362
286,0.00889177,0.43326426
287,0.00884224,0.43085337
288,0.00878313,0.42797354
289,0.00871045,0.42442811
290,0.00861752,0.41989306
291,0.00849327,0.41380543
292,0.00834884,0.40508622
293,0.0118489,0.39139029
294,0.19462465,0.36745933
Restart!,16,
295,0.01482118,0.36561522
296,0.00767392,0.36465701
297,0.00747252,0.36368191
298,0.00744374,0.36267239
299,0.00742131,0.36161315
300,0.00739819,0.360486
301,0.00737319,0.35926899
302,0.0073457,0.35793415
303,0.00731522,0.35644373
304,0.00728037,0.35474735
305,0.0072399,0.35277295
306,0.00719151,0.35041547
307,0.00713188,0.34751236
308,0.00705568,0.34379926
309,0.00695397,0.33881497
310,0.00683288,0.3316758
311,0.00939857,0.32046196
312,0.14930062,0.30078334
